nohup: ignoring input
I1203 17:25:27.083834  389329 collector.go:260] Processing IPFIX message
I1203 17:25:27.103894  389329 session.go:74] "Added template to template map" obsDomainID=10000 templateID=1069
I1203 17:25:27.103924  389329 tcp.go:130] "Processed message from exporter" observationDomainID=10000 setType=0 numRecords=1
I1203 17:25:27.103936  389329 collector.go:260] Processing IPFIX message
I1203 17:25:27.123989  389329 session.go:74] "Added template to template map" obsDomainID=10000 templateID=1070
I1203 17:25:27.124023  389329 tcp.go:130] "Processed message from exporter" observationDomainID=10000 setType=0 numRecords=1
I1203 17:25:27.124035  389329 collector.go:260] Processing IPFIX message
I1203 17:25:27.144129  389329 session.go:74] "Added template to template map" obsDomainID=10000 templateID=1071
I1203 17:25:27.144173  389329 tcp.go:130] "Processed message from exporter" observationDomainID=10000 setType=0 numRecords=1
I1203 17:25:27.144187  389329 collector.go:260] Processing IPFIX message
I1203 17:25:27.164267  389329 session.go:74] "Added template to template map" obsDomainID=10000 templateID=1072
I1203 17:25:27.164310  389329 tcp.go:130] "Processed message from exporter" observationDomainID=10000 setType=0 numRecords=1
I1203 17:25:27.164323  389329 collector.go:260] Processing IPFIX message
I1203 17:25:27.184413  389329 session.go:74] "Added template to template map" obsDomainID=10000 templateID=1073
I1203 17:25:27.184464  389329 tcp.go:130] "Processed message from exporter" observationDomainID=10000 setType=0 numRecords=1
I1203 17:25:27.184479  389329 collector.go:260] Processing IPFIX message
I1203 17:25:27.204540  389329 session.go:74] "Added template to template map" obsDomainID=10000 templateID=1074
I1203 17:25:27.204584  389329 tcp.go:130] "Processed message from exporter" observationDomainID=10000 setType=0 numRecords=1
I1203 17:25:27.204599  389329 collector.go:260] Processing IPFIX message
I1203 17:25:27.224645  389329 session.go:74] "Added template to template map" obsDomainID=10000 templateID=1075
I1203 17:25:27.224699  389329 tcp.go:130] "Processed message from exporter" observationDomainID=10000 setType=0 numRecords=1
I1203 17:25:27.224712  389329 collector.go:260] Processing IPFIX message
I1203 17:25:27.244765  389329 session.go:74] "Added template to template map" obsDomainID=10000 templateID=1076
I1203 17:25:27.244808  389329 tcp.go:130] "Processed message from exporter" observationDomainID=10000 setType=0 numRecords=1
I1203 17:25:27.244821  389329 collector.go:260] Processing IPFIX message
I1203 17:25:27.264869  389329 session.go:74] "Added template to template map" obsDomainID=10000 templateID=1077
I1203 17:25:27.264911  389329 tcp.go:130] "Processed message from exporter" observationDomainID=10000 setType=0 numRecords=1
I1203 17:25:27.264924  389329 collector.go:260] Processing IPFIX message
I1203 17:25:27.284973  389329 session.go:74] "Added template to template map" obsDomainID=10000 templateID=1078
I1203 17:25:27.285021  389329 tcp.go:130] "Processed message from exporter" observationDomainID=10000 setType=0 numRecords=1
I1203 17:25:27.285046  389329 collector.go:260] Processing IPFIX message
I1203 17:25:27.305023  389329 session.go:74] "Added template to template map" obsDomainID=10000 templateID=1079
I1203 17:25:27.305058  389329 tcp.go:130] "Processed message from exporter" observationDomainID=10000 setType=0 numRecords=1
I1203 17:25:27.305070  389329 collector.go:260] Processing IPFIX message
I1203 17:25:27.325186  389329 session.go:74] "Added template to template map" obsDomainID=10000 templateID=1080
I1203 17:25:27.325228  389329 tcp.go:130] "Processed message from exporter" observationDomainID=10000 setType=0 numRecords=1
I1203 17:25:27.325244  389329 collector.go:260] Processing IPFIX message
I1203 17:25:27.345271  389329 session.go:74] "Added template to template map" obsDomainID=10000 templateID=1081
I1203 17:25:27.345333  389329 tcp.go:130] "Processed message from exporter" observationDomainID=10000 setType=0 numRecords=1
I1203 17:25:27.345348  389329 collector.go:260] Processing IPFIX message
I1203 17:25:27.365361  389329 session.go:74] "Added template to template map" obsDomainID=10000 templateID=1082
I1203 17:25:27.365407  389329 tcp.go:130] "Processed message from exporter" observationDomainID=10000 setType=0 numRecords=1
I1203 17:25:27.365420  389329 collector.go:260] Processing IPFIX message
I1203 17:25:27.385488  389329 session.go:74] "Added template to template map" obsDomainID=10000 templateID=1083
I1203 17:25:27.385524  389329 tcp.go:130] "Processed message from exporter" observationDomainID=10000 setType=0 numRecords=1
I1203 17:25:27.385537  389329 collector.go:260] Processing IPFIX message
I1203 17:25:27.405570  389329 session.go:74] "Added template to template map" obsDomainID=10000 templateID=1084
I1203 17:25:27.405601  389329 tcp.go:130] "Processed message from exporter" observationDomainID=10000 setType=0 numRecords=1
I1203 17:25:27.405612  389329 collector.go:260] Processing IPFIX message
I1203 17:25:27.425735  389329 session.go:74] "Added template to template map" obsDomainID=10000 templateID=1085
I1203 17:25:27.425783  389329 tcp.go:130] "Processed message from exporter" observationDomainID=10000 setType=0 numRecords=1
I1203 17:25:27.425797  389329 collector.go:260] Processing IPFIX message
I1203 17:25:27.445831  389329 session.go:74] "Added template to template map" obsDomainID=10000 templateID=1086
I1203 17:25:27.445869  389329 tcp.go:130] "Processed message from exporter" observationDomainID=10000 setType=0 numRecords=1
I1203 17:25:27.445883  389329 collector.go:260] Processing IPFIX message
I1203 17:25:27.465918  389329 session.go:74] "Added template to template map" obsDomainID=10000 templateID=1087
I1203 17:25:27.465973  389329 tcp.go:130] "Processed message from exporter" observationDomainID=10000 setType=0 numRecords=1
I1203 17:25:27.465986  389329 collector.go:260] Processing IPFIX message
I1203 17:25:27.486034  389329 session.go:74] "Added template to template map" obsDomainID=10000 templateID=1088
I1203 17:25:27.486082  389329 tcp.go:130] "Processed message from exporter" observationDomainID=10000 setType=0 numRecords=1
I1203 17:25:27.486095  389329 collector.go:260] Processing IPFIX message
I1203 17:25:27.506118  389329 session.go:74] "Added template to template map" obsDomainID=10000 templateID=1089
I1203 17:25:27.506168  389329 tcp.go:130] "Processed message from exporter" observationDomainID=10000 setType=0 numRecords=1
I1203 17:25:27.506180  389329 collector.go:260] Processing IPFIX message
I1203 17:25:27.526329  389329 session.go:74] "Added template to template map" obsDomainID=10000 templateID=1090
I1203 17:25:27.526388  389329 tcp.go:130] "Processed message from exporter" observationDomainID=10000 setType=0 numRecords=1
I1203 17:25:27.526403  389329 collector.go:260] Processing IPFIX message
I1203 17:25:27.546383  389329 session.go:74] "Added template to template map" obsDomainID=10000 templateID=1091
I1203 17:25:27.546419  389329 tcp.go:130] "Processed message from exporter" observationDomainID=10000 setType=0 numRecords=1
I1203 17:25:27.546444  389329 collector.go:260] Processing IPFIX message
I1203 17:25:27.566482  389329 session.go:74] "Added template to template map" obsDomainID=10000 templateID=1092
I1203 17:25:27.566516  389329 tcp.go:130] "Processed message from exporter" observationDomainID=10000 setType=0 numRecords=1
I1203 17:25:27.566528  389329 collector.go:260] Processing IPFIX message
I1203 17:25:27.586757  389329 session.go:74] "Added template to template map" obsDomainID=10000 templateID=1093
I1203 17:25:27.586794  389329 tcp.go:130] "Processed message from exporter" observationDomainID=10000 setType=0 numRecords=1
I1203 17:25:27.586805  389329 collector.go:260] Processing IPFIX message
I1203 17:25:27.606746  389329 session.go:74] "Added template to template map" obsDomainID=10000 templateID=1094
I1203 17:25:27.606778  389329 tcp.go:130] "Processed message from exporter" observationDomainID=10000 setType=0 numRecords=1
I1203 17:25:27.606789  389329 collector.go:260] Processing IPFIX message
I1203 17:25:27.626852  389329 session.go:74] "Added template to template map" obsDomainID=10000 templateID=1095
I1203 17:25:27.626899  389329 tcp.go:130] "Processed message from exporter" observationDomainID=10000 setType=0 numRecords=1
I1203 17:25:27.626914  389329 collector.go:260] Processing IPFIX message
I1203 17:25:27.646940  389329 session.go:74] "Added template to template map" obsDomainID=10000 templateID=1096
I1203 17:25:27.646975  389329 tcp.go:130] "Processed message from exporter" observationDomainID=10000 setType=0 numRecords=1
I1203 17:25:27.646991  389329 collector.go:260] Processing IPFIX message
I1203 17:25:27.667143  389329 session.go:74] "Added template to template map" obsDomainID=10000 templateID=1097
I1203 17:25:27.667201  389329 tcp.go:130] "Processed message from exporter" observationDomainID=10000 setType=0 numRecords=1
I1203 17:25:27.667215  389329 collector.go:260] Processing IPFIX message
I1203 17:25:27.687319  389329 session.go:74] "Added template to template map" obsDomainID=10000 templateID=1098
I1203 17:25:27.687375  389329 tcp.go:130] "Processed message from exporter" observationDomainID=10000 setType=0 numRecords=1
I1203 17:25:27.687390  389329 collector.go:260] Processing IPFIX message
I1203 17:25:27.707468  389329 session.go:74] "Added template to template map" obsDomainID=10000 templateID=1099
I1203 17:25:27.707517  389329 tcp.go:130] "Processed message from exporter" observationDomainID=10000 setType=0 numRecords=1
I1203 17:25:27.707531  389329 collector.go:260] Processing IPFIX message
